assess,workerid,comments,enjoyment,gender,education,age,language
Yes,0,,1,Female,3,29,English
Yes,1,,2,Female,2,332,United States
Yes,2,I think I recognized that puppet.This was an interesting HIT.,1,Female,2,35,English
Yes,3,,1,Male,1,24,English
Yes,4,,1,Male,3,30,English
Yes,5,,2,Female,2,24,English
Yes,6,,1,Male,2,26,English
Yes,7,,2,Male,1,22,English
Yes,8,,2,Female,2,19,english
Yes,9,,2,Male,3,24,English
Yes,10,,1,Male,3,36,English
Yes,11,na,2,Male,2,22,english
Yes,12,,2,Male,3,44,english
Yes,13,,2,Male,3,29,English
Yes,14,,1,Male,1,35,English
Yes,15,None,2,Male,1,29,English
Yes,16,,1,Male,2,28,English
Yes,17,,1,Female,1,27,english
Yes,18,thank you. cute hit.,2,Female,2,69,english
Yes,19,,2,Female,1,31,english
Yes,20,,2,Male,2,35,english
Yes,21,ty,2,Male,2,25,english
Yes,22,None,1,Male,1,32,English
Yes,23,,1,Female,4,43,English
Yes,24,,2,Female,3,28,english
Yes,25,,1,Female,2,28,English
No,26,,1,Male,2,24,english
Yes,27,,1,Female,3,37,ENGLISH
Yes,28,,1,Female,3,39,English
Yes,29,,1,Female,2,24,English
Yes,30,,2,Female,3,30,English
Yes,31,,2,Male,1,33,english
Yes,32,,2,Female,3,63,English
Yes,33,,1,Female,4,26,English
Yes,34,,1,Male,2,33,english
