screenW,Browser,OS,screenH,workerid
1920,Chrome,Windows,1080,0
1366,Chrome,Windows,768,1
2240,Firefox,Linux,1260,2
1536,Chrome,Windows,864,3
1024,Firefox,Windows,768,4
1366,Chrome,Windows,768,5
1920,Chrome,Windows,1080,6
1280,Chrome,Mac,800,7
1920,Chrome,Windows,1080,8
1366,Chrome,Windows,768,9
1600,Chrome,Windows,900,10
1366,Chrome,Windows,768,11
1920,Chrome,Windows,1080,12
1280,Chrome,Windows,720,13
1280,Firefox,Windows,720,14
1280,Chrome,Windows,720,15
1920,Chrome,Windows,1080,16
1920,Chrome,Windows,1080,17
1536,Chrome,Windows,864,18
1600,Chrome,Windows,900,19
1366,Chrome,Windows,768,20
1920,Chrome,Windows,1080,21
1366,Chrome,Windows,768,22
1280,Chrome,Windows,720,23
1366,Firefox,Windows,768,24
1024,Chrome,Windows,640,25
1920,Chrome,Windows,1080,26
1440,Chrome,Mac,900,27
1366,Chrome,Windows,768,28
1440,Chrome,Mac,900,29
1280,Chrome,Windows,720,30
1280,Chrome,Windows,1024,31
1920,Chrome,Windows,1080,32
1366,Chrome,Linux,768,33
1366,Chrome,Windows,768,34
