workerid,screenH,screenW,OS,Browser
0,1080,1920,Windows,Chrome
1,1080,1920,Windows,Chrome
2,768,1366,Windows,Chrome
3,900,1600,Windows,Firefox
4,768,1364,Windows,Chrome
5,768,1366,Windows,Chrome
6,900,1440,Windows,Firefox
7,768,1366,Windows,Chrome
8,823,412,Linux,Chrome
9,768,1366,Windows,Chrome
10,1206,2144,Windows,Firefox
11,1152,2048,Mac,Chrome
12,1080,1920,Windows,Firefox
13,1080,1920,Windows,Firefox
14,768,1366,Windows,Chrome
15,768,1366,Linux,Chrome
16,576,1024,Windows,Firefox
17,768,1366,Windows,Chrome
18,768,1364,Windows,Chrome
19,900,1600,Windows,Chrome
20,768,1366,Linux,Chrome
21,1080,1920,Windows,Chrome
22,1080,1920,Windows,Chrome
23,800,1280,Mac,Chrome
24,768,1366,Windows,Chrome
25,768,1366,Windows,Chrome
26,864,1536,Windows,Chrome
27,768,1366,Windows,Chrome
28,864,1536,Windows,Chrome
29,768,1366,Windows,Chrome
30,1080,1920,Windows,Chrome
31,1440,2560,Windows,Chrome
32,768,1366,Windows,Chrome
33,768,1366,Windows,Chrome
34,864,1536,Windows,Chrome
35,864,1536,Windows,Chrome
36,900,1600,Windows,Chrome
37,768,1366,Linux,Chrome
38,1080,1920,Windows,Chrome
39,768,1366,Windows,Chrome
40,768,1366,Windows,Chrome
41,768,1366,Windows,Chrome
42,768,1366,Linux,Chrome
43,768,1366,Windows,Chrome
44,1050,1680,Windows,Chrome
45,800,1280,Mac,Chrome
46,1080,1920,Windows,Chrome
47,1024,768,an unknown OS,Safari
48,768,1366,Windows,Chrome
49,900,1440,Windows,Chrome
50,570,320,Linux,Chrome
51,1050,1680,Windows,Chrome
52,900,1600,Windows,Chrome
53,768,1366,Windows,Chrome
54,720,1280,Windows,Chrome
55,1440,2560,Windows,Chrome
56,768,1364,Windows,Chrome
57,1080,1920,Windows,Chrome
58,615,1093,Windows,Chrome
59,768,1364,Windows,Chrome
60,864,1536,Windows,Chrome
61,851,393,Linux,Chrome
62,768,1366,Windows,Chrome
63,768,1366,Windows,Chrome
64,864,1536,Windows,Chrome
65,900,1600,Windows,Chrome
66,1080,1920,Windows,Chrome
67,864,1536,Windows,Chrome
68,1080,1920,Windows,Chrome
69,864,1536,Windows,Chrome
70,800,1280,Windows,Chrome
71,800,1280,Mac,Chrome
72,1080,1920,Windows,Chrome
73,800,1280,Mac,Chrome
74,768,1366,Windows,Chrome
75,1080,1920,Windows,Chrome
76,768,1360,Windows,Chrome
77,768,1366,Windows,Firefox
78,864,1536,Windows,Chrome
79,1024,1280,Windows,Chrome
80,900,1440,Mac,Chrome
81,1080,1920,Windows,Chrome
82,768,1366,Windows,Chrome
83,768,1366,Windows,Chrome
84,601,962,Linux,Chrome
85,768,1366,Linux,Chrome
86,1080,1920,Windows,Chrome
87,1080,1920,Windows,Chrome
88,864,1536,Windows,Chrome
89,768,1366,Windows,Chrome
90,1125,2000,Windows,Firefox
91,1440,2560,Windows,Chrome
92,800,1280,Mac,Chrome
93,792,1408,Windows,Firefox
94,768,1364,Windows,Chrome
95,1080,1920,Windows,Chrome
96,768,1366,Windows,Chrome
97,1080,1920,Windows,Chrome
98,800,1280,Linux,Firefox
99,1080,1920,Windows,Chrome
100,768,1024,Windows,Chrome
101,768,1366,Windows,Chrome
102,900,1600,Windows,Chrome
103,864,1536,Windows,Chrome
104,1024,1280,Windows,Chrome
105,900,1600,Windows,Chrome
106,1080,1920,Linux,Chrome
107,768,1366,Windows,Chrome
108,858,1525,Windows,Firefox
109,1080,1920,Windows,Chrome
110,768,1366,Windows,Chrome
111,1080,1920,Windows,Firefox
112,1024,1280,Windows,Firefox
113,800,1280,Mac,Chrome
114,900,1440,Windows,Chrome
115,768,1366,Windows,Chrome
116,720,360,Linux,Chrome
117,864,1536,Windows,Chrome
118,900,1600,Windows,Chrome
119,900,1440,Linux,Chrome
