screenW,OS,Browser,screenH,workerid
1366,Windows,Chrome,768,0
1024,Windows,Chrome,768,1
1280,Mac,Chrome,800,2
1366,Windows,Chrome,768,3
1920,Windows,Chrome,1080,4
1366,Windows,Chrome,768,5
1366,Windows,Chrome,768,6
1366,Windows,Chrome,768,7
1920,Windows,Chrome,1080,8
1920,Windows,Chrome,1080,9
1600,Windows,Chrome,900,10
1200,Linux,Firefox,750,11
1366,Windows,Chrome,768,12
1366,Windows,Chrome,768,13
1366,Windows,Chrome,768,14
1364,Windows,Chrome,768,15
1920,Windows,Chrome,1080,16
1364,Windows,Chrome,768,17
1193,Windows,Chrome,671,18
1280,Windows,Chrome,1024,19
1680,Windows,Chrome,1050,20
1536,Windows,Chrome,864,21
1366,Windows,Firefox,768,22
1920,Windows,Chrome,1080,23
1920,Windows,Chrome,1080,24
1280,Mac,Firefox,800,25
1536,Windows,Chrome,864,26
1366,Windows,Chrome,768,27
1440,Mac,Firefox,900,28
1366,Windows,Chrome,768,29
1366,Windows,Chrome,768,30
1368,Windows,Chrome,912,31
1366,Windows,Chrome,768,32
1600,Windows,Chrome,1024,33
1364,Windows,Chrome,768,34
1536,Windows,Chrome,864,35
1440,Mac,Chrome,900,36
1366,Windows,Chrome,768,37
1680,Windows,Chrome,1050,38
1280,Windows,Firefox,1024,39
1366,Windows,Chrome,768,40
1366,Windows,Chrome,768,41
1368,Windows,Chrome,912,42
1920,Windows,Chrome,1080,43
1920,Windows,Chrome,1080,44
1360,Windows,Firefox,768,45
1920,Linux,Chrome,1200,46
1366,Windows,Chrome,768,47
1600,Windows,Firefox,900,48
1600,Windows,Chrome,900,49
1920,Windows,Chrome,1080,50
1024,Windows,Chrome,768,51
1280,Windows,Chrome,720,52
1920,Windows,Chrome,1080,53
1280,Windows,Chrome,720,54
1680,Mac,Chrome,1050,55
1680,Mac,Chrome,1050,56
1366,Windows,Chrome,768,57
1366,Windows,Chrome,768,58
1600,Windows,Firefox,900,59
1920,Windows,Firefox,1080,60
1366,Windows,Chrome,768,61
1280,Windows,Chrome,800,62
1366,Windows,Chrome,768,63
1024,Linux,Chrome,768,64
1364,Windows,Chrome,768,65
1920,Windows,Chrome,1080,66
2560,Windows,Chrome,1440,67
1207,Windows,Firefox,678,68
1440,Mac,Chrome,900,69
1366,Windows,Chrome,768,70
1280,Windows,Chrome,800,71
1920,Windows,Chrome,1080,72
1760,Windows,Firefox,990,73
768,Mac,Safari,1024,74
1920,Windows,Chrome,1080,75
1366,Windows,Chrome,768,76
1360,Mac,Firefox,768,77
1366,Windows,Chrome,768,78
1366,Windows,Chrome,768,79
1366,Windows,Chrome,768,80
1920,Mac,Chrome,1080,81
1920,Windows,Firefox,1080,82
1366,Windows,Chrome,768,83
1920,Windows,Chrome,1080,84
1366,Windows,Chrome,768,85
1920,Mac,Chrome,1080,86
1364,Windows,Chrome,768,87
1364,Windows,Chrome,768,88
1360,Windows,Chrome,768,89
1600,Windows,Chrome,900,90
1536,Windows,Chrome,864,91
1440,Mac,Chrome,900,92
1440,Mac,Chrome,900,93
1366,Windows,Chrome,768,94
1440,Mac,Chrome,900,95
1366,Windows,Chrome,768,96
1366,Windows,Chrome,768,97
1600,Windows,Chrome,900,98
1366,Windows,Chrome,768,99
1280,Mac,Safari,800,100
1920,Windows,Firefox,1080,101
2560,Windows,Chrome,1440,102
1366,Windows,Chrome,768,103
1280,Windows,Firefox,768,104
1280,Windows,Chrome,720,105
1366,Windows,Chrome,768,106
1366,Windows,Chrome,768,107
1920,Mac,Chrome,1080,108
1536,Windows,Chrome,864,109
1366,Windows,Chrome,768,110
1920,Windows,Chrome,1200,111
1920,Windows,Chrome,1080,112
412,Linux,Chrome,732,113
1366,Windows,Firefox,768,114
1440,Windows,Chrome,900,115
1280,Mac,Chrome,800,116
