workerid,age,education,enjoyment,comments,gender,assess,language
0,25,2,1,,Male,Yes,English
1,35,2,1,good,Male,Yes,English
2,30,-1,-1,,Male,Yes,
3,40,4,1,,Female,Yes,English
4,21,1,2,gimme more!,Male,Yes,english
5,28,3,2,,Female,Yes,English
6,34,3,1,,Male,Yes,English
7,50,1,2,,Female,Yes,English
8,58,2,1,,Male,Yes,
9,23,2,0,,Male,Yes,United States
10,33,3,2,good,Male,Yes,English
11,44,2,1,,Female,Yes,english
12,38,3,1,good,Male,Yes,english
13,33,3,2,good,Male,Yes,english
14,59,2,2,,Female,Yes,English
15,62,4,2,Some degrees of 'disagreement' depending on how many facets were incorrect in the answer,Male,Yes,English
16,30,3,2,good and nice survey and very good expereience,Male,Yes,English
17,41,3,1,None.,Male,Yes,English
18,30,3,0,seemed long,Male,Yes,english
19,44,2,2,It was fun,Male,Yes,English
20,42,3,0,good,Male,Yes,english
21,24,4,2,Cute puppets. Thanks for a fun HIT!,Female,Yes,English
22,60,2,1,good and really nice for a hit.,Male,Yes,English
23,48,1,2,,Female,Yes,English
24,38,3,1,,Male,Yes,English
25,51,3,2,,Female,Yes,english
26,68,3,1,,Male,Yes,English
27,59,1,2,"Interesting, thanks!",Female,Yes,English
28,35,2,1,GOOD,Female,Yes,english
29,35,3,2,interesting survey,Male,Yes,English
30,24,1,2,,Female,Yes,english
31,27,3,2,Nice,Female,Yes,English
32,34,3,2,,Female,Yes,English
33,32,2,1,"Everything was clear and loaded fine, thank you",Female,Yes,English
34,35,3,2,,Female,Yes,English
35,21,2,1,,Male,Confused,English
36,45,3,2,Nice hit. Thanks,Female,Yes,English
37,34,1,2,,Male,Yes,English
38,32,2,1,,Male,Yes,English
39,31,2,1,,Female,Yes,English
40,41,3,2,good survey,Female,Yes,English
41,58,3,1,,Female,Yes,English
42,39,4,0,,Male,Yes,English
43,36,3,1,,Male,Yes,English
44,24,3,1,GOOD,Female,Yes,english
45,38,3,2,good,Male,Yes,english
46,24,3,2,,Female,Yes,English
47,36,3,1,good,Male,Yes,english
48,33,4,1,,Female,Yes,english
49,63,3,2,"Very interesting HIT, thank you for your time.",Male,Yes,English
50,33,2,2,good task,Male,Yes,english
51,23,1,1,,Male,Yes,English
52,33,4,2,,Female,Yes,English
53,30,3,1,,Male,Yes,English
54,24,3,2,,Female,Yes,English
55,26,3,0,way underpaid. you should be ashamed.,Male,Yes,english
56,54,4,2,,Female,Yes,English
57,51,2,1,,Female,Yes,english
58,33,2,2,,Female,Yes,english
59,48,3,2,,Female,Yes,English
60,57,3,2,Thank you.,Female,Yes,English
61,,-1,-1,,,,
62,37,3,2,It is a bit annoying to keep hitting the submit button after every statement.,Female,Yes,English
63,31,3,1,,Female,Yes,english
64,35,2,1,,Male,Yes,English
65,45,4,1,,Female,Yes,Pakistan
66,36,2,1,,Female,Yes,English
67,52,1,1,,Male,Yes,english
68,46,3,1,None,Male,Yes,English
69,45,2,2,None.,,Yes,English
70,27,3,2,nice it is very interest to do,Female,Yes,english
71,25,3,1,good survey,Male,Yes,English
72,26,3,1,"I don't have much, I wonder what the point of the study was.",Female,Yes,English
73,51,2,1,,Female,Yes,English
74,30,3,1,No comments.,Male,Yes,English
75,41,4,1,,Female,Yes,english
76,25,2,1,Everything was great!,Male,Yes,English
77,47,3,2,none,Male,Yes,English
78,55,2,1,,Female,Yes,english
79,53,2,2,,Male,Yes,English
80,33,3,1,,Male,Yes,ENGLISH
81,25,2,2,interesting ,Male,No,English
82,34,3,0,pay is low,Male,Yes,english
83,35,3,1,,Male,Yes,English
84,38,2,1,,Male,Yes,english
85,65,3,2,NICE,Female,Yes,ENGLISH
86,24,-1,2,,Female,Yes,english
87,47,4,2,No Comments,Male,Yes,English
88,27,3,2,,Female,Yes,English
89,26,3,2,No comments,Male,Yes,English
90,27,3,1,,Female,Yes,English
91,28,2,1,Two dollars would have been a better payment for the length of this study.,Male,Yes,English
92,35,1,2,,Male,Yes,english
93,30,2,1,nice,Male,No,
94,28,3,0,Good,Male,Yes,English
95,52,3,1,NONE,Female,Yes,English
96,28,2,1,,Male,Yes,English
97,54,3,1,none,Male,Yes,english
98,33,2,1,,Male,Yes,English
99,31,3,0,,Female,Yes,English
