Browser,workerid,screenH,OS,screenW
Chrome,0,768,Windows,1366
Chrome,1,768,Windows,1366
Chrome,2,1080,Windows,1920
Chrome,3,720,Windows,1280
Chrome,4,864,Windows,1536
Chrome,5,768,Windows,1366
Firefox,6,768,Linux,1024
Chrome,7,864,Windows,1536
Chrome,8,1024,Linux,1280
Chrome,9,1080,Windows,1920
Chrome,10,768,Windows,1366
Chrome,11,768,Linux,1366
Chrome,12,768,Windows,1366
Chrome,13,768,Windows,1366
Chrome,14,960,Windows,1536
Chrome,15,768,Windows,1366
Chrome,16,768,Windows,1366
Chrome,17,1080,Windows,1920
Chrome,18,1080,Windows,1920
Chrome,19,768,Windows,1366
Chrome,20,768,Windows,1364
Chrome,21,768,Windows,1366
Chrome,22,768,Windows,1364
Firefox,23,1173,Windows,1876
Chrome,24,1024,Windows,1280
Chrome,25,720,Windows,1280
Chrome,26,768,Windows,1366
Chrome,27,768,Windows,1360
Chrome,28,768,Windows,1366
Chrome,29,768,Windows,1366
Chrome,30,800,Mac,1280
Chrome,31,800,Windows,1280
Firefox,32,1080,Linux,1920
Chrome,33,864,Windows,1536
Chrome,34,720,Windows,1280
Chrome,35,1080,Windows,1920
Firefox,36,864,Windows,1536
Chrome,37,1203,Windows,2872
Firefox,38,1080,Windows,1920
Chrome,39,1080,Windows,1920
Chrome,40,768,Windows,1366
Chrome,41,900,Windows,1440
Chrome,42,1440,Windows,3440
Chrome,43,1080,Windows,1920
Chrome,44,768,Windows,1364
Chrome,45,768,Windows,1366
Chrome,46,864,Windows,1536
Chrome,47,768,Windows,1366
Chrome,48,1050,Windows,1680
Chrome,49,900,Windows,1600
Chrome,50,768,Windows,1366
Chrome,51,1080,Windows,1920
Chrome,52,768,Windows,1366
Chrome,53,1080,Windows,1920
Chrome,54,1080,Windows,1920
Chrome,55,900,Windows,1600
Chrome,56,1440,Mac,2560
Chrome,57,1080,Windows,1920
Chrome,58,900,Mac,1440
Chrome,59,864,Windows,1536
Chrome,60,768,Windows,1366
Chrome,61,900,Mac,1440
Chrome,62,800,Mac,1280
Chrome,63,900,Windows,1440
Chrome,64,1080,Windows,1920
Chrome,65,768,Windows,1366
Chrome,66,768,Windows,1360
Chrome,67,768,Windows,1360
Chrome,68,1105,Linux,1658
Chrome,69,900,Linux,1600
Chrome,70,768,Windows,1364
Chrome,71,768,Windows,1024
Firefox,72,900,Mac,1440
Chrome,73,900,Windows,1600
Chrome,74,768,Windows,1360
Chrome,75,768,Windows,1366
Chrome,76,1080,Windows,1920
Chrome,77,615,Windows,1093
Chrome,78,864,Windows,1536
Chrome,79,900,Windows,1600
Chrome,80,768,Windows,1366
Chrome,81,768,Windows,1364
Chrome,82,900,Windows,1600
Chrome,83,1080,Linux,1920
Chrome,84,731,Linux,1300
Chrome,85,768,Windows,1364
Chrome,86,768,Windows,1366
Chrome,87,900,Windows,1600
Chrome,88,800,Windows,1280
Chrome,89,640,Windows,1024
Chrome,90,864,Windows,1536
Chrome,91,1080,Windows,1920
Firefox,92,1080,Windows,1920
Chrome,93,900,Windows,1440
Chrome,94,768,Windows,1366
Chrome,95,768,Windows,1366
Chrome,96,1080,Linux,1920
Chrome,97,1024,Windows,1280
Chrome,98,1050,Windows,1680
Chrome,99,768,Windows,1366
